time,xd,zd,contact
0.010000,-0.001318,-0.195600,0
0.020000,-0.002585,-0.196199,0
0.031000,-0.003915,-0.196857,0
0.041000,-0.005066,-0.197453,0
0.051000,-0.006159,-0.198047,0
0.062000,-0.007295,-0.198696,0
0.072000,-0.008265,-0.199283,0
0.083000,-0.009262,-0.199923,0
0.094000,-0.010185,-0.200557,0
0.104000,-0.010959,-0.201128,0
0.115000,-0.011738,-0.201749,0
0.126000,-0.012442,-0.202362,0
0.136000,-0.013017,-0.202911,0
0.147000,-0.013576,-0.203506,0
0.157000,-0.014019,-0.204038,0
0.167000,-0.014401,-0.204562,0
0.178000,-0.014749,-0.205126,0
0.188000,-0.015001,-0.205629,0
0.198000,-0.015194,-0.206121,0
0.208000,-0.015326,-0.206602,1
0.219000,-0.015405,-0.207118,1
0.229000,-0.015416,-0.207574,1
0.239000,-0.015371,-0.208018,1
0.250000,-0.015258,-0.208491,1
0.260000,-0.015099,-0.208908,1
0.270000,-0.014887,-0.209310,1
0.280000,-0.014626,-0.209698,1
0.291000,-0.014281,-0.210109,1
0.301000,-0.013918,-0.210466,1
0.311000,-0.013510,-0.210808,1
0.321000,-0.013059,-0.211135,1
0.331000,-0.012565,-0.211446,1
0.341000,-0.012032,-0.211740,1
0.351000,-0.011462,-0.212018,1
0.362000,-0.010793,-0.212304,1
0.372000,-0.010150,-0.212547,1
0.382000,-0.009477,-0.212772,1
0.392000,-0.008774,-0.212979,1
0.402000,-0.008045,-0.213169,1
0.412000,-0.007292,-0.213341,1
0.423000,-0.006439,-0.213509,1
0.433000,-0.005643,-0.213643,1
0.443000,-0.004830,-0.213759,1
0.453000,-0.004003,-0.213856,1
0.463000,-0.003164,-0.213934,1
0.473000,-0.002316,-0.213994,1
0.484000,-0.001376,-0.214039,1
0.494000,-0.000517,-0.214059,1
0.504000,0.000344,-0.214061,1
0.514000,0.001204,-0.214044,1
0.524000,0.002061,-0.214009,1
0.534000,0.002911,-0.213954,1
0.544000,0.003753,-0.213881,1
0.554000,0.004583,-0.213790,1
0.564000,0.005401,-0.213680,1
0.574000,0.006202,-0.213551,1
0.585000,0.007062,-0.213389,1
0.595000,0.007822,-0.213223,1
0.605000,0.008558,-0.213038,1
0.615000,0.009269,-0.212836,1
0.625000,0.009951,-0.212616,1
0.635000,0.010604,-0.212379,1
0.645000,0.011223,-0.212124,1
0.655000,0.011809,-0.211853,1
0.665000,0.012357,-0.211565,1
0.675000,0.012866,-0.211261,1
0.685000,0.013335,-0.210941,1
0.695000,0.013761,-0.210605,1
0.706000,0.014177,-0.210218,1
0.716000,0.014507,-0.209850,1
0.726000,0.014789,-0.209467,1
0.736000,0.015020,-0.209070,1
0.746000,0.015201,-0.208659,1
0.756000,0.015328,-0.208235,1
0.766000,0.015400,-0.207798,1
0.776000,0.015418,-0.207347,1
0.786000,0.015378,-0.206885,1
0.796000,0.015280,-0.206411,1
0.806000,0.015124,-0.205925,0
0.816000,0.014908,-0.205429,0
0.826000,0.014631,-0.204922,0
0.837000,0.014256,-0.204353,0
0.847000,0.013850,-0.203827,0
0.857000,0.013382,-0.203291,0
0.867000,0.012851,-0.202747,0
0.877000,0.012258,-0.202196,0
0.887000,0.011602,-0.201637,0
0.897000,0.010884,-0.201071,0
0.907000,0.010104,-0.200500,0
0.917000,0.009262,-0.199923,0
0.927000,0.008358,-0.199341,0
0.937000,0.007395,-0.198755,0
0.947000,0.006371,-0.198165,0
0.957000,0.005289,-0.197572,0
0.968000,0.004033,-0.196917,0
0.978000,0.002831,-0.196319,0
0.988000,0.001576,-0.195720,0
0.998000,0.000268,-0.195120,0
1.008000,-0.001059,-0.195480,0
1.018000,-0.002336,-0.196079,0
1.028000,-0.003559,-0.196678,0
1.038000,-0.004726,-0.197275,0
1.048000,-0.005837,-0.197869,0
1.058000,-0.006890,-0.198461,0
1.068000,-0.007884,-0.199049,0
1.078000,-0.008818,-0.199633,0
1.088000,-0.009690,-0.200212,0
1.098000,-0.010502,-0.200786,0
1.108000,-0.011251,-0.201355,0
1.118000,-0.011938,-0.201917,0
1.128000,-0.012562,-0.202472,0
1.138000,-0.013124,-0.203020,0
1.148000,-0.013623,-0.203560,0
1.159000,-0.014101,-0.204144,0
1.169000,-0.014469,-0.204665,0
1.179000,-0.014777,-0.205177,0
1.189000,-0.015023,-0.205678,0
1.199000,-0.015209,-0.206169,0
1.209000,-0.015336,-0.206649,1
1.219000,-0.015405,-0.207118,1
1.229000,-0.015416,-0.207574,1
1.239000,-0.015371,-0.208018,1
1.249000,-0.015271,-0.208449,1
1.259000,-0.015117,-0.208866,1
1.269000,-0.014911,-0.209270,1
1.279000,-0.014654,-0.209660,1
1.290000,-0.014315,-0.210072,1
1.300000,-0.013957,-0.210431,1
1.310000,-0.013553,-0.210775,1
1.320000,-0.013106,-0.211103,1
1.330000,-0.012616,-0.211415,1
1.340000,-0.012087,-0.211711,1
1.350000,-0.011520,-0.211991,1
1.360000,-0.010918,-0.212254,1
1.370000,-0.010281,-0.212499,1
1.380000,-0.009614,-0.212728,1
1.390000,-0.008917,-0.212939,1
1.400000,-0.008193,-0.213132,1
1.411000,-0.007369,-0.213325,1
1.421000,-0.006596,-0.213480,1
1.431000,-0.005803,-0.213618,1
1.441000,-0.004994,-0.213737,1
1.451000,-0.004170,-0.213838,1
1.461000,-0.003333,-0.213920,1
1.471000,-0.002487,-0.213984,1
1.481000,-0.001633,-0.214029,1
1.491000,-0.000775,-0.214055,1
1.501000,0.000086,-0.214062,1
1.511000,0.000947,-0.214051,1
1.521000,0.001804,-0.214021,1
1.531000,0.002657,-0.213972,1
1.542000,0.003585,-0.213897,1
1.552000,0.004418,-0.213810,1
1.562000,0.005238,-0.213703,1
1.572000,0.006043,-0.213579,1
1.582000,0.006830,-0.213436,1
1.592000,0.007596,-0.213274,1
1.602000,0.008340,-0.213095,1
1.612000,0.009058,-0.212898,1
1.622000,0.009750,-0.212684,1
1.632000,0.010411,-0.212452,1
1.642000,0.011041,-0.212202,1
1.652000,0.011637,-0.211936,1
1.662000,0.012196,-0.211653,1
1.673000,0.012768,-0.211323,1
1.683000,0.013244,-0.211006,1
1.693000,0.013679,-0.210673,1
1.703000,0.014069,-0.210325,1
1.713000,0.014413,-0.209962,1
1.723000,0.014709,-0.209583,1
1.733000,0.014956,-0.209191,1
1.743000,0.015152,-0.208784,1
1.753000,0.015295,-0.208364,1
1.763000,0.015384,-0.207930,1
1.773000,0.015418,-0.207484,1
1.783000,0.015396,-0.207025,1
1.794000,0.015305,-0.206507,1
1.804000,0.015160,-0.206023,0
1.814000,0.014956,-0.205529,0
1.824000,0.014691,-0.205024,0
1.834000,0.014365,-0.204510,0
1.844000,0.013978,-0.203986,0
1.854000,0.013529,-0.203453,0
1.864000,0.013017,-0.202911,0
1.874000,0.012442,-0.202362,0
1.884000,0.011806,-0.201805,0
1.894000,0.011106,-0.201242,0
1.904000,0.010344,-0.200672,0
1.914000,0.009521,-0.200097,0
1.925000,0.008544,-0.199458,0
1.935000,0.007592,-0.198873,0
1.945000,0.006581,-0.198283,0
1.955000,0.005510,-0.197691,0
1.965000,0.004382,-0.197096,0
1.975000,0.003198,-0.196498,0
1.985000,0.001958,-0.195900,0
1.995000,0.000666,-0.195300,0
2.006000,-0.000797,-0.195360,0
2.017000,-0.002210,-0.196020,0
2.027000,-0.003439,-0.196618,0
2.038000,-0.004726,-0.197275,0
2.049000,-0.005945,-0.197928,0
2.059000,-0.006992,-0.198520,0
2.070000,-0.008076,-0.199166,0
2.080000,-0.008997,-0.199749,0
2.091000,-0.009940,-0.200385,0
